"sep=,"
Title,Rating,Genre,Actors,Runtime
Koombiyo,9.9,"Thumindu Dodantenne, Kalana Gunasekara, Andrew Pulle, Yureni Noshika","Crime, Drama, Thriller",20 min
The Filthy Frank Show,9.8,"George 'Joji' Miller, Artemis Holdenberry, Zeeq, Bloody Hairy","Short, Comedy, Fantasy",12 min
Game of Thrones,9.5,"Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey","Action, Adventure, Drama",57 min
Breaking Bad,9.5,"Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt","Crime, Drama, Thriller",49 min
Rick and Morty,9.3,"Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke","Animation, Adventure, Comedy",23 min
The Wire,9.3,"Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce","Crime, Drama, Thriller",59 min
TVF Pitchers,9.3,"Arunabh Kumar, Naveen Kasturia, Jitendra Kumar, Abhay Mahajan","Comedy, Drama",40 min
Sherlock,9.2,"Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves","Crime, Drama, Mystery",88 min
The Sopranos,9.2,"James Gandolfini, Lorraine Bracco, Edie Falco, Michael Imperioli","Crime, Drama",55 min
Avatar: The Last Airbender,9.2,"Dee Bradley Baker, Zach Tyler, Mae Whitman, Jack De Sena","Animation, Action, Adventure",23 min
The World at War,9.2,"Laurence Olivier, Anthony Eden, Averell Harriman, Albert Speer","Documentary, History, War",52 min
Leyla ile Mecnun,9.2,"Ali Atay, Cengiz Bozkurt, Serkan Keskin, Osman Sonant","Adventure, Comedy, Drama",80 min
O Mecanismo,9.1,"Caroline Abras, Enrique Diaz, Jonathan Haagensen, Selton Mello","Crime, Drama, Thriller",41 min
Firefly,9.1,"Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin","Adventure, Drama, Sci-Fi",44 min
Hagane no renkinjutsushi,9.1,"Iemasa Kayumi, Kent Williams, Muriel Hofmann, Lili Troncale","Animation, Action, Adventure",24 min
Fargo,9,"Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks","Crime, Drama, Thriller",53 min
True Detective,9,"Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch","Crime, Drama, Mystery",55 min
One Punch Man: Wanpanman,9,"Makoto Furukawa, Max Mittelman, Kaito Ishikawa, Zach Aguilar","Animation, Action, Comedy",24 min
The Twilight Zone,9,"Rod Serling, Robert McCord, Jay Overholts, Vaughn Taylor","Fantasy, Horror, Mystery",51 min
Last Week Tonight with John Oliver,9,"John Oliver, David Kaye, Noel MacNeal, Alberto Bonilla","Comedy, News, Talk-Show",30 min
Death Note: Desu nôto,9,"Mamoru Miyano, Brad Swaile, Vincent Tong, Ryô Naitô","Animation, Crime, Drama",24 min
Batman: The Animated Series,9,"Kevin Conroy, Loren Lester, Efrem Zimbalist Jr., Robert Hastings","Animation, Action, Adventure",23 min
Westworld,8.9,"Evan Rachel Wood, Jeffrey Wright, Ed Harris, Thandie Newton","Drama, Mystery, Sci-Fi",62 min
Black Mirror,8.9,"Daniel Lapaine, Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jones","Drama, Sci-Fi, Thriller",60 min
Stranger Things,8.9,"Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour","Drama, Fantasy, Horror",51 min
Friends,8.9,"Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc","Comedy, Romance",22 min
Narcos,8.9,"Pedro Pascal, Wagner Moura, Boyd Holbrook, Alberto Ammann","Biography, Crime, Drama",49 min
House of Cards,8.9,"Kevin Spacey, Michel Gill, Robin Wright, Kate Mara",Drama,51 min
Seinfeld,8.9,"Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards, Jason Alexander",Comedy,22 min
Arrested Development,8.9,"Jason Bateman, Michael Cera, Portia de Rossi, Will Arnett",Comedy,22 min
Gravity Falls,8.9,"Jason Ritter, Alex Hirsch, Kristen Schaal, Linda Cardellini","Animation, Adventure, Comedy",23 min
Only Fools and Horses....,8.9,"David Jason, Nicholas Lyndhurst, Roger Lloyd Pack, Buster Merryfield",Comedy,95 min
Kaubôi bibappu,8.9,"Kôichi Yamadera, Unshô Ishizuka, Megumi Hayashibara, Steve Blum","Animation, Action, Adventure",24 min
Monty Python's Flying Circus,8.9,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle",Comedy,30 min
Pod prikritie,8.9,"Ivaylo Zahariev, Zachary Baharov, Vladimir Penev, Marian Valev","Action, Crime, Drama",60 min
The Office,8.8,"Steve Carell, Jenna Fischer, John Krasinski, Rainn Wilson",Comedy,22 min
La casa de papel,8.8,"Úrsula Corberó, Itziar Ituño, Álvaro Morte, Paco Tous","Action, Crime, Mystery",70 min
This Is Us,8.8,"Milo Ventimiglia, Mandy Moore, Sterling K. Brown, Chrissy Metz",Drama,45 min
